Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19
"1019. Orroth KK, Korenromp EL, White RG, Changalucha J, de Vlas SJ, Gray RH, Hughes P, Kamali A, Ojwiya A, Serwadda D, Wawer MJ, Hayes RJ, Grosskurth H. (2003) Comparison of STD prevalences in the Mwanza, Rakai, and Masaka trial populations: the role of selection bias and diagnostic errors. Sexually Transmitted Infection 79(2):98-105"," Comparison of STD prevalences in the Mwanza, Rakai, and Masaka trial populations: the role of selection bias and diagnostic errors",STD ,Sexually Transmitted Infection,2003,79,2,98,105,13,,,,,,,,,"Objectives: To assess bias in estimates of STD prevalence in population based surveys resulting from diagnostic error and selection bias. To evaluate the effects of such biases on STD prevalence estimates from three community randomised trials of STD treatment for HIV prevention in Masaka and Rakai, Uganda and Mwanza, Tanzania.                                                            Methods: Age and sex stratified prevalences of gonorrhoea, chlamydia, syphilis, HSV-2 infection, and trichomoniasis observed at baseline in the three trials were adjusted for sensitivity and specificity of diagnostic tests and for sample selection criteria.                                                                                                                                                                                                  Results: STD prevalences were underestimated in all three populations because of diagnostic errors and selection bias. After adjustment, gonorrhoea prevalence was higher in men and women in Mwanza (2.8% and 2.3%) compared to Rakai (1.1% and 1.9%) and Masaka (0.9% and 1.8%). Chlamydia prevalence was higher in women in Mwanza (13.0%) compared to Rakai (3.2%) and Masaka (1.6%) but similar in men (2.3% in Mwanza, 2.7% in Rakai, and 2.2% in Masaka). Prevalence of trichomoniasis was higher in women in Mwanza compared to women in Rakai (41.9% versus 30.8%). Herpes simplex virus type 2 (HSV-2) seroprevalence and prevalence of serological syphilis (TPHA+/RPR+) were similar in the three populations but the prevalence of high titre syphilis (TPHA+/RPR ?1:8) in men and women was higher in Mwanza (5.6% and 6.3%) than in Rakai (2.3% and 1.4%) and Masaka (1.2% and 0.7%).      Conclusions: Limited sensitivity of diagnostic and screening tests led to underestimation of STD prevalence in all three trials but especially in Mwanza. Adjusted prevalences of curable STD were higher in Mwanza than in Rakai and Masaka."
"1020. Rapuoda, B., Ali, A., Bakyaita, A., Mutabingwa, T.K., Mwita, A., Rwagacondo, A., Mugisha, V., Staedke, S., Snow, R.W., Watkins, W.M., D’Allesandro, U. East African Network for Monitoring Antimalarial Treatment (EANMAT) (2003) The efficacy of antimalarial monotherapies, sulphadoxine-pyrimethamine and amodiaquine in East Africa: implications for sub-regional policy. Tropical Medicine and International Health 8 (10):860-7."," The efficacy of antimalarial monotherapies, sulphadoxine-pyrimethamine and amodiaquine in East Africa: implications for sub-regional policy",Malaria,Tropical Medicine and International Health,2003,8,10,860,867,12,,,,,,,,,"Between 1998 and 2001, Kenya, Uganda, Tanzania, Zanzibar, Rwanda and Burundi changed antimalarial drug policy, in the face of widespread chloroquine resistance. The new first-line treatment is either sulphadoxine-pyrimethamine (SP) monotherapy, or a combination of SP with either chloroquine or amodiaquine. Two national malaria control programmes, Burundi and Zanzibar, have decided upon amodiaquine-artesunate as their first-line treatment, although SP will continue to fill this role until the new policy can be implemented. Given the broad uniformity of parasite chemoresistance in the six countries, The East African Network for Monitoring Antimalarial Treatment (EANMAT) has focused attention on, and worked towards, a sub-regional antimalarial drug policy, where the evidence base would be the entire portfolio of network in vivo test results. Currently, there are several different antimalarial drug policies within the EANMAT area: the intention is to eventually replace this plethora of policies with a single, sub-regional policy based upon combination therapy. Currently, successful malaria treatment depends primarily upon the efficacy of SP, and of amodiaquine, which is either a component of first-line treatment, or the second line drug. This report addresses the results of WHO in vivo tests on these two monotherapies within the network. Results are analysed to assess the evidence for change in parasite susceptibility over time; the range of susceptibility to each drug within countries, and the implications of test results on policy."
"1021. Rumisha, S.F., Mboera, L.E.G. Kamugisha, M.L., Kalumuna, A., Amri, M. & Kitua, A.Y. (2003) Pattern and distribution of communicable diseases in border districts of Bukoba and Tanga, Tanzania. Tanzania Health Research Bulletin 5, 19-23"," Pattern and distribution of communicable diseases in border districts of Bukoba and Tanga, Tanzania",communicable diseases,Tanzania Health Research Bulletin,2003,5,,19,23,6,,,,,,,,,
"1022. Rumisha, S.F., Mboera, L.E.G., Kisinza, W.N., Chuwa, G.J., Kitua, A.Y. & Molteni, F. (2003) Community perceptions of malaria and its management in Iringa District, south-western Tanzania. Tanzania Health Research Bulletin 5, 41-47."," Community perceptions of malaria and its management in Iringa District, south-western Tanzania.", malaria,Tanzania Health Research Bulletin,2003,5,,41,47,6,,,,,,,,,
"1023. Shayo, E., Mboera, L.E.G., Mmbuji, P., Rumisha, S.F., Senkoro, K.P. & Mwami, A.J. (2003) The role of community and traditional healers in communicable disease surveillance and management in Babati and Dodoma Districts, Tanzania. Tanzania Health Research Bulletin 5, 48-52. ","The role of community and traditional healers in communicable disease surveillance and management in Babati and Dodoma Districts, Tanzania",communicable disease surveillance,Tanzania Health Research Bulletin,2003,5,,48,52,6,,,,,,,,,
"1024. Terris-Prestholt F, Watson-Jones D, Mugeye K, Kumaranayake L, Ndeki L, Weiss H, Changalucha J, Todd J, Lisekie F, Gumodoka B, Mabey D, Hayes R. (2003) Is antenatal syphilis screening still cost effective in sub-Saharan Africa. Sexually Transmitted Infection 79(5):375-81.", Is antenatal syphilis screening still cost effective in sub-Saharan Africa,syphilis,Sexually Transmitted Infection ,2003,79,5,375,381,12,,,,,,,,,"OBJECTIVES: To estimate the cost effectiveness of on-site antenatal syphilis screening and treatment in Mwanza, Tanzania. To compare this intervention with other antenatal and child health interventions, specifically the prevention of mother to child transmission of HIV (PMTCT).                                                                                                                                                           METHODS: The economic costs of adding the intervention to routine antenatal care were assessed. Cost effectiveness (CE) ratios of the intervention were obtained for low birth weight (LBW) live births and stillbirths averted and cost per DALY saved. Cost per DALY saved was also estimated for previous CE studies of syphilis screening. The CE of the intervention at different syphilis prevalence rates was modelled.                                                                                                                                                                                                                                            RESULTS: The economic cost of the intervention is $1.44 per woman screened, $20 per woman treated, and $187 per adverse birth outcome averted. The cost per DALY saved is $110 with LBW as the only adverse outcome. When including stillbirth, this estimate improves 10-fold to $10.56 per DALY saved. The cost per DALY saved from all syphilis screening studies ranged from $3.97 to $18.73.                                                                                                                                                                                                                                                                                       CONCLUSIONS: Syphilis screening is shown to be at least as cost effective as PMTCT and more cost effective than many widely implemented interventions. There is urgent need for scaling up syphilis screening and treatment in high prevalence areas. The CE of screening interventions is highly dependent on disease prevalence. In combination, PMTCT and syphilis screening and treatment interventions may achieve economies of scope and thus improved efficiency."
"1025. Akim NI, Urassa H, Drakeley CJ, Sauerwein RW, Kitua AY. (2002) Immunity to the sexual stages of Plasmodium falciparum in mothers, neonates and infants subject to intense and perennial malarial transmission. Annals of Tropical Medicine and Parasitology 96(7):735-7."," Immunity to the sexual stages of Plasmodium falciparum in mothers, neonates and infants subject to intense and perennial malarial transmission",Malaria,Annals of Tropical Medicine and Parasitology,2002,96,7,735,737,5,,,,,,,,,"The bloodmeal of a mosquito that has fed on an individual with a malarial infection may contain the parasite's gametocytes as well as antibodies from the human. If antibodies against the sexual stages of the parasite are present, these can prevent the fertilization of the gametes or further development of the sporogonic stages in the mosquito, thereby preventing the transmission of the parasite to another human. Such transmission-blocking immunity (TBI) has been observed in sera from the inhabitants of malaria-endemic areas (Mendis et al., 1997) and has been correlated with responses to the principle sexual-stage antigens of Plasmodium falciparum - Pfs230 (Graves et al., 1988) and epitopes I and III of Pfs48/45 (Roeffen et al., 1995b). In maternal sera collected in Ifakara, Tanzania - an area of intense and perennial malarial transmission - the levels of antibodies against the asexual stages of P. falciparum were found to correlate positively with those in the corresponding cord sera (Kitua et al., 1996). Maternally-acquired antibodies protected the children in this setting against symptomatic malaria for the first 4 months of their lives, after which there was a significant decline in the titres of these antibodies and a tandem increase in malaria-related morbidity. It is not yet known whether antibodies to the sexual stages of the parasite are also transferred from mothers to their newborns and, if so, whether the levels of these antibodies follow a similar pattern of decline in infants. In the present, pilot study, therefore, the presence and development of TBI during the first 12 months of life were explored in infants living in Ifakara. (excerpt)"
"1026. Boerma, J.T., Urassa, M., Nnko, S., Ng'weshemi, J., Isingo, R., Zaba, B., Mwaluko, G. (2002) Sociodemographic context of the AIDS epidemic in a rural area in Tanzania with a focus on people's mobility and marriage. Sexually Transmitted Infections 78 (Suppl 1): 97-105", Sociodemographic context of the AIDS epidemic in a rural area in Tanzania with a focus on people's mobility and marriage,AIDS,Sexually Transmitted Infections,2002,78,suppl 1,97,105,7,,,,,,,,,"This analysis focuses on how sociocultural and economic characteristics of a poor semi-urban and rural population (Kisesa ward) in north west Tanzania may directly and indirectly affect the epidemiology of HIV and other sexually transmitted infections (STI). Poverty and sociocultural changes may contribute to the observed high levels of marital instability and high levels of short and long term migration in Kisesa, especially among younger adults. Marriage and migration patterns are important underlying factors affecting the spread of HIV. The most cost-effective intervention strategy may be to focus on the trading centre in which mobility is higher, bars were more common, and HIV prevalence and incidence were considerably higher than in the nearby rural villages. If resources suffice, additional work can be undertaken in the rural villages, although it is not clear to what extent the rural epidemic would be self sustaining if the interventions in the trading centre were effective."
"1027. Changalucha, J., Grosskurth, H., Mwita, W., Todd, J., Ross, D., Mayaud, P., Mahamoud, A., Klokke, A., Mosha, F., Hayes, R., Mabey, D. (2002) Comparison of HIV prevalences in community-based and antenatal clinic surveys in rural Mwanza, Tanzania. AIDS 16(4):661-5.","Comparison of HIV prevalences in community-based and antenatal clinic surveys in rural Mwanza, Tanzania",HIV, AIDS,2002,16,4,661,665,11,,,,,,,,,"OBJECTIVES: First, to compare the prevalence of HIV infection among women in the general population and antenatal clinic (ANC) attenders in rural Mwanza, Tanzania, and second, to validate a method for adjusting HIV prevalence in ANC attenders to estimate the prevalence in the general female population aged 15-44 years. METHODS: A cross-sectional population survey was conducted in 12 rural communities of Mwanza Region between 1991 and 1992. From the same communities sequential ANC attenders were recruited on two occasions between 1991 and 1993. Consenting subjects were interviewed, examined, treated and a serum sample was tested for HIV. The HIV prevalence in women in the general population was compared with unadjusted and adjusted prevalences in ANC attenders. Parity-adjusted prevalences were obtained by applying correction factors to the observed prevalences in parous and nulliparous ANC attenders.                                                                                                                                                                                                                                                                               RESULTS: A total of 5675 women aged 15-44 years from the general population and 2265 ANC attenders had complete socio-demographic and laboratory data. Unadjusted HIV prevalence was significantly lower in ANC attenders (3.6%) than women from the general population (4.7%, P = 0.025), but after adjustment there was no significant difference between the two groups (4.6 versus 4.7%, P = 0.95). CONCLUSION: In this rural population, the HIV prevalence in ANC attenders underestimated the prevalence among women in the general population, but this difference was eliminated by applying parity-based correction factors. Information on parity should be routinely collected in ANC-based HIV sentinel surveillance."
"1028. Changalucha J, Gavyole A, Grosskurth H, Hayes R, Mabey D. (2002) STD/HIV intervention and research programme Mwanza Region, NW Tanzania. Sexually Transmitted Infection 78 Suppl 1:i91-6."," STD/HIV intervention and research programme Mwanza Region, NW Tanzania", STD/HIV,Sexually Transmitted Infection,2002,78,Suppl 1,i91,6,5,,,,,,,,,"The social determinants and epidemiology of sexually transmitted disease (STD) were studied in rural communities in Mwanza Region, Tanzania, in the context of the phase specific model of STD transmission. The prevalence of HIV and syphilis was higher in communities close to main roads, and lower in communities living on islands in Lake Victoria, probably reflecting the proportion of high risk individuals in the population. The prevalence of Herpes simplex virus type 2 infection, gonorrhoea, chlamydial infection, and trichomoniasis was similar in all types of community, reflecting the fact that these infections remain in the hyperendemic phase. The transmission of STDs is fuelled by high population mobility and by the presence of high risk individuals in rural as well as roadside communities."
"1029. Curtis J, Maxwell CA, Msuya FH, Mkongewa S, Alloueche A, Warhurst DC. (2002) Mutations in dhfr in Plasmodium falciparum infections selected by chlorproguanil-dapsone treatment. Journal of Infectious Disease 186(12):1861-4. Epub 2002 Nov 15.", Mutations in dhfr in Plasmodium falciparum infections selected by chlorproguanil-dapsone treatment,Malaria,Journal of Infectious Disease,2002,186,12,1861,1864,6,,,,,,,,,"Treatment with the novel antifolate drug combination chlorproguanil-dapsone effectively cleared asymptomatic Plasmodium falciparum infections in 246 (93.5%) of 263 children in the Usambara Mountains of Tanzania during the course of a 2-week follow-up. Samples from 71 recurrent infections, collected over a 9-week follow-up, showed selection for parasites with the triple mutant Ile(51)-Arg(59)-Asn(108) in dihydrofolate reductase. There was no selection for mutations in dihydropteroate synthetase, the target enzyme of dapsone. Search for complete identity in the highly polymorphic genes coding for merozoite surface proteins 1 and 2 in parasite samples collected before and after treatment indicated that the majority of recurrent parasitemias were new infections. These observations on selection in Tanzania and the lack of selection reported from a less endemic area suggest that the active metabolite of chlorproguanil, which has a short half-life in the blood, may persist in the liver, where it exerts selective pressure on growing preerythrocytic stages."
"1030. Curtis, C.F., Malecela-Lazaro, M., Reuben, R. & Maxwell, M.A. (2002) Use of floating layers of polystyrene beads to control populations of the filaria vector Culex quinquefasciatus. Annals of Tropical Medicine and Parasitology 96: S97-S104.",Use of floating layers of polystyrene beads to control populations of the filaria vector Culex quinquefasciatus, lymphatic filariasis,nnals of Tropical Medicine and Parasitology,2002,96,,S97,S104,4,,,,,,,,,"Floating layers of polystyrene beads suffocate mosquito larvae and pupae and inhibit egg laying. The layers are very durable in breeding sites with water contained within walls, as in wet pit latrines and soakage pits. In some areas such pits constitute an important breeding site for Culex quinquefasciatus. Trials have been conducted in communities in Zanzibar, Tanzania, and in Tamil Nadu, India, where such mosquito populations were the vectors of Wuchereria bancrofti. In each case, treatment of all the pits with polystyrene beads was integrated with mass treatment of the people with antifilarial drugs-in Zanzibar in 1988 with diethylcarbamazine (DEC) and in India in the 1990s with DEC plus ivermectin. The results were compared with those in communities with the mass drug treatment alone and with control communities with neither treatment. The polystyrene-bead treatments greatly and sustainably reduced the vector populations. Comparison of the communities after drug treatment ceased showed that this form of vector control contributed markedly to the prevention of a resurgence of filarial infection. Where Cx. quinquefasciatus breeding in pits form a major component of the vector population, use of polystyrene-bead layers could assist considerably in the process of eliminating lymphatic filariasis by mass drug administration."
"1031. del Mar Pujades Rodríguez, M., Obasi, A., Mosha, F., Todd, J., Brown, D., Changalucha, J., Mabey, D., Ross, D., Grosskurth, H., Hayes, R. (2002) Herpes simplex virus type 2 infection increases HIV incidence: a prospective study in rural Tanzania. AIDS 16(3):451-62",Herpes simplex virus type 2 infection increases HIV incidence: a prospective study in rural Tanzania,HIV,AIDS,2002,16,3,451,462,10,,,,,,,,,"To quantify the association between prevalent or incident Herpes simplex virus type-2 (HSV2) infection and the incidence of HIV seroconversion among adults in the general population in rural Tanzania. Adults aged 15-54 years sampled randomly from 12 rural communities in Mwanza Region, Tanzania and recruited to a randomized trial of improved treatment of sexually transmitted diseases. Unmatched case-control study nested within trial cohort. Participants included 127 cases who seroconverted to HIV during the 2-year follow-up period and 636 randomly selected controls who remained HIV negative. Subjects were tested for HSV2 serology at baseline and follow-up, and associations between HIV and HSV2 were analysed with adjustment for socio-demographic and behavioural factors. After adjusting for confounding factors, a strong association between HSV2 infection and HIV seroconversion was observed in men (test for trend: P < 0.001), with adjusted odds ratios (OR) of 6.12 [95% confidence interval (CI), 2.52-14.9] in those HSV2 positive at baseline, and 16.8 (95% CI, 6.06-46.3) in those acquiring HSV2 infection during follow-up. A weaker association was observed in women (tests for trend: P = 0.14), with adjusted OR of 1.32 (95% CI, 0.62-2.78) and 2.36 (95% CI, 0.81-6.84), respectively. Population attributable fractions of incident HIV infection due to HSV2 were estimated as 74% in men and 22% in women. The results suggest that HSV2 plays an important role in the transmission of HIV infection in this population. There is an urgent need to identify effective HSV2 control measures in order to reduce HIV incidence in Africa."
"1032. Hastings, MD, Bates SJ, Blackstone EA, Monks SM, Mutabingwa TK, Sibley CH. (2002) Highly pyrimethamine-resistant alleles of dihydrofolate reductase in isolates of Plasmodium falciparum from Tanzania. Transactions of the Royal Society of Tropical Medicine and Hygiene 96(6):674-6.",Highly pyrimethamine-resistant alleles of dihydrofolate reductase in isolates of Plasmodium falciparum from Tanzania,Malaria,Transactions of the Royal Society of Tropical Medicine and Hygiene,2002,96,6,674,676,6,,,,,,,,,"In 2000 we used a sensitive technique to examine 9 isolates from malaria patients in Muheza, Tanzania who had failed treatment with sulfadoxine-pyrimethamine (SP). Three isolates carried, at low levels, the leucine to isoleucine change at amino acid 164 that is associated with clinical failure of SP. Numerous other highly resistant alleles were also observed."
"1033. Hugonnet, S., Mosha, F., Todd, J., Mugeye, K., Klokke, A., Ndeki, L., Ross, D., Grosskurth, H., Hayes, R. (2002) Incidence of HIV infection in stable sexual partnerships: a retrospective cohort study of 1802 couples in Mwanza Region, Tanzania. Journal of Acquired Immune Deficiency Syndrome 30(1):73-80.","Incidence of HIV infection in stable sexual partnerships: a retrospective cohort study of 1802 couples in Mwanza Region, Tanzania",HIV,Journal of Acquired Immune Deficiency Syndrome,2002,30,1,73,80,9,,,,,,,,,"OBJECTIVE: To describe the dynamics of HIV transmission in stable sexual partnerships in rural Tanzania.                                                                                                                                              DESIGN: Retrospective cohort study nested within community-randomized trial to investigate the impact of a sexually transmitted disease treatment program.                                               METHODS: A cohort of 1802 couples was followed up for 2 years, with the HIV status of each couple assessed at baseline and follow-up.                                                                                      RESULTS: At baseline, 96.7% of couples were concordant-negative, 0.9% were concordant-positive, 1.2% were discordant with the male partner being HIV-positive, and 1.2% were discordant with the female partner being HIV-positive. Individuals living with an HIV-positive partner were more likely to be HIV-positive at baseline (women: odds ratio [OR] = 75.7, 95% confidence interval [CI]: 33.4-172; men: OR = 62.4, CI: 28.5-137). Seroincidence rates in discordant couples were 10 per 100 person-years (py) and 5 per 100 py for women and men, respectively (rate ratio [RR] = 2.0, CI: 0.28-22.1). In concordant-negative couples, seroincidence rates were 0.17 per 100 py in women and 0.45 per 100 py in men (RR = 0.38, CI: 0.12-1.04). Individuals living in discordant couples were at a greatly increased risk of infection compared with individuals in concordant-negative couples (RR = 57.9, CI: 12.0-244 for women; RR = 11.0, CI: 1.2-47.5 for men).                                                                                                                                                                                                                                                                                   CONCLUSION: Men were more likely than women to introduce HIV infection in concordant-negative partnerships. In discordant couples, incidence in HIV-negative women was twice as high as in men. HIV-negative individuals in discordant partnerships are at high risk of infection, and preventive interventions targeted at such individuals are urgently needed."
"1034. Kisinza, W., Mwisongo, A., Makundi, E., Mubyazi, G., Senkoro, K., Magesa, S., Malebo, H., Mcharo, J., Hiza, P., Pallangyo, K., Ipuge, Y., Kitua, A., Malecela-Lazaro, M.  (2002) Stigma and discrimination on HIV/AIDS in Tanzania. Tanzania Health Research Bulletin  4(2): 42",Stigma and discrimination on HIV/AIDS in Tanzania,HIV/AIDS,Tanzania Health Research Bulletin,2002,4,2,42,,13,,,,,,,,,"This study was conducted in June 2001 in arusha, Dodoma, Iringa, Kagera, Kigoma, Kilimanjaro, Mtwara, Mwanza and Tanga Regions in Tanzania. The overall goal of the study was to obtain information useful in the planning control of HIV/AIDS. Results of this study showed that the rights of people living with HIV/AIDS were often violated on the sole basis of their known or presumed HIV/AIDS status. Morever individuals who suffered discrimination and lacked respect for their human dignity were both more vulnerable to becoming infected and less able to cope with the burdens of HIV/AIDS. The aspects of knowledge, attitudes and practices of health workers towards HIV/AIDS patients and perceptions and HIV/AIDS patients towards health services and health care providers are discussed. The stigma and its associated discrimination effects on voluntary testing, disclosure of information on HIV/AIDS status to family members or friends is described. Strengthening the legal framework to protect the rights of people with HIV/AIDS is seen as of paramount importance. Communities need to be empowered to understand and use policy and the law to obtain the care and support they require. In addition it is considered vital to create supportive environments to reduce stigma through national and community-based communication initiatives to combat fear and misinformation; to improve community based self-help services for people living with HIV/AIDS; and to increase accessibility to affordable antiretroviral therapy."
"1035. Kunda, J., Kilale, A., Chonde, T.M. &Mfinanga GS. (2002) Drug resistant tuberculosis; A potential threats to tuberculosis control programme- which way Tanzania. Tanzania Medical Journal, 17 (1), 1-5.",Drug resistant tuberculosis; A potential threats to tuberculosis control programme- which way Tanzania, tuberculosis,Tanzania Medical Journal,2002,17,1,1,5,4,,,,,,,,,
"1036. Magesa SM, Mdira KY, Babiker HA, Alifrangis M, Färnert A, Simonsen PE, Bygbjerg IC, Walliker D, Jakobsen PH. (2002) Diversity of Plasmodium falciparum clones infecting children living in a holoendemic area in north-eastern Tanzania. Acta Tropica 84(2):83-92.",Diversity of Plasmodium falciparum clones infecting children living in a holoendemic area in north-eastern Tanzania,Malaria, Acta Tropic,2002,84,2,83,92,9,,,,,,,,,"The diversity of Plasmodium falciparum clones and their role in progression from asymptomatic to symptomatic condition in children have been investigated. Attempts to identify whether particular parasite genotypes were associated with the development of clinical symptoms have been made. A cohort of 34 initially asymptomatic parasitaemic children aged 1-5 years were followed daily for 31 days. Clinical examinations were made each day for signs and symptoms of clinical malaria, followed by parasitological investigation. Nineteen children developed symptoms suggestive of clinical malaria during this period. Daily blood parasite samples from 13 children who developed clinical malaria symptoms and 7 who remained asymptomatic were genotyped by PCR-amplification of the polymorphic regions of the merozoite surface proteins 1 and 2 (MSP1 and MSP2) and the glutamate rich protein (GLURP) genes. Infections were found to be highly complex in both groups of children. Every isolate examined from both groups had a mixture of parasite clones. Daily changes were observed in both parasite density and genotypic pattern. The mean number of genotypes per individual was estimated at 4.9 and 2.7 for asymptomatic and symptomatic groups of children, respectively. Analysis of allele frequency distributions showed that these differed significantly for the MSP1 locus only."
"1037. Maxwell, C.A., Carneiro, I.A., Chambo, W., Mwanjeluka, D., Magogo, F. && Curtis, C.F. (2002) Variation of malaria transmission and morbidity in Tanzania with altitude and with introduction of alphacypermethrin treated nets. Malaria Journal 1.",Variation of malaria transmission and morbidity in Tanzania with altitude and with introduction of alphacypermethrin treated nets.,malaria,Malaria Journal,2002,1,,,,6,,,,,,,,,"Highland areas with naturally less intense malaria transmission may provide models of how lowland areas might become if transmission was permanently reduced by sustained vector control. It has been argued that vector control should not be attempted in areas of intense transmission. Mosquitoes were sampled with light traps, pyrethrum spray and window exit traps. They were tested by ELISA for sporozoites. Incidence of malaria infection was measured by clearing existing infections from children with chlorproguanil-dapsone and then taking weekly blood samples. Prevalence of malaria infection and fever, anaemia and splenomegaly were measured in children of different age groups. All these measurements were made in highland and lowland areas of Tanzania before and after provision of bednets treated with alphacypermethrin. Entomological inoculation rates (EIR) were about 17 times greater in a lowland than a highland area, but incidence of infection only differed by about 2.5 times. Malaria morbidity was significantly less prevalent in the highlands than the lowlands. Treated nets in the highlands and lowlands led to 69–75% reduction in EIR. Malaria morbidity showed significant decline in younger children at both altitudes after introduction of treated nets. In children aged 6–12 the decline was only significant in the highlands There was no evidence that the health benefits to young children due to the nets in the lowlands were ""paid for"" by poorer health later in life. Our data support the idea of universal provision of treated nets, not a focus on areas of natural hypo-endemicity."
"1038. Maxwell, C.A., Msuya, E., Sudi, M., Njunwa, K.J., Carneiro, I.A. & Curtis, C.F. (2002) Effect of community-wide use of insecticide-treated nets for 3-4 years on malarial morbidity in Tanzania. Tropical Medicine and International Health 7, 1003-1008.",Effect of community-wide use of insecticide-treated nets for 3-4 years on malarial morbidity in Tanzania,malarial, Tropical Medicine and International Health,2002,7,,1003,1008,6,,,,,,,,,"OBJECTIVES: To investigate (1) benefits due to personal protection of individual net users vs. mass killing of mosquitoes within villages as a result of widespread net usage; (2) sustainability over several years of benefits against malarial morbidity of insecticide-treated nets; (3) distribution of the benefits in different age groups of children and (4) whether, as a result of fading immunity, older age groups 'paid for' the benefits which they had enjoyed when younger.                                                                                                                                    METHODS: (1) Tabulation of earlier data to compare personal and community-wide effects against mosquito vectors; (2) two cross-sectional surveys for malaria parasitaemia, malarial fever, anaemia and splenomegaly in children in eight Tanzanian villages, in which there had been community-wide use of bednets which had been annually re-treated with alphacypermethrin for 3-4 years; (3) comparison between children of different age groups and with intact, torn or no nets in these villages and in 4-6 villages without nets.                                                                                                                              RESULTS: A 90-95% reduction in infective bites outside nets in netted villages and an additional 54-82% reduction of bites among individual net users. Highly significant reductions (by 55-75%) in malarial morbidity for children aged 6 months to 2 years were found in netted villages with, for some outcomes, better results among individuals who themselves had intact treated nets. For older children, benefits were less clear or absent, but there was no sign that the benefits early in life were 'paid for' by worse outcomes in the netted villages later in childhood.                                                                                                                                                                                                                                                                                                              CONCLUSIONS: The overall benefits to the community of widespread use of treated nets are sustainable and are not reversed in 3-4 years as a result of fading immunity. It is important to ensure high enough coverage to realize the full potential of the treated net method. By showing an impact on the vector population in the community these results provide a strong argument for organized free provision of net treatment, rather than relying on marketing"
"1039. Mboera, L., Kisinza, W.N., Kamugisha, M.L., Rumisha, S.F., Chuwa, G., Kitua, A.Y., Molteni, F. & Majori, G. (2002) Prevalenza della malaria nella popolazione scolastica del distretto di Iringa Rural, Tanzania, in relazione ad altitudine e accessibilita ai servizi sanitari. Parassitologia 44, Suppl 107.","Prevalenza della malaria nella popolazione scolastica del distretto di Iringa Rural, Tanzania, in relazione ad altitudine e accessibilita ai servizi sanitari",malaria,Parassitologia,2002,44, Suppl 107,,,8,,,,,,,,,
"1040. Mboera, L.E.G., Kamugisha, M.L., Malima, R.C., Mushi, A.K., Msuya, F.H., Masawe, T. & Kitua, A.Y. (2002) Malaria prevalence and health seeking behaviour among communities of the lowlands and highlands of Gonja, Same District, north-eastern Tanzania. Tanzania Health Research Bulletin 4, 47-53.","Malaria prevalence and health seeking behaviour among communities of the lowlands and highlands of Gonja, Same District, north-eastern Tanzania",Malaria,Tanzania Health Research Bulletin,2002,4,,47,53,7,,,,,,,,,
"1041. Murdoch, M.E., Asuzu, M.C., Hagan, M., Makunde, W.H., Ngoumou, P., Ogbuagu, K.F., Okello, D., Ozoh, G., Remme, J. (2002) Onchocerciasis: the clinical and epidemiological burden of skin disease in Africa. Annals of Tropical Medicine and Parasitology 96(3):283-96.",Onchocerciasis: the clinical and epidemiological burden of skin disease in Afric,Onchocerciasis,Onchocerciasis: the clinical and epidemiological burden of skin disease in Afric,2002,96,3,283,296,9,,,,,,,,,"An attempt was made to assess the true public-health importance of onchocercal skin disease throughout the African region and hence provide an objective basis for the rational planning of onchocerciasis control in the area. The seven collaborative centres that participated in the study (three in Nigeria and one each in Ghana, Cameroon, Tanzania and Uganda) were all in areas of rainforest or savannah-forest mosaic where onchocercal blindness is not common. A cross-sectional dermatological survey was undertaken at each site following a standard protocol. At each site, the aim was to examine at least 750 individuals aged 5 years and living in highly endemic communities and 220-250 individuals aged 5 years and living in a hypo-endemic (control) community. Overall, there were 5459 and 1451 subjects from hyper-and hypo-endemic communities, respectively. In the highly endemic communities, the prevalence of itching increased with age until 20 years and then plateaued, affecting 42% of the population aged 20 years. There was a strong correlation between the prevalence of itching and the level of endemicity (as measured by the prevalence of nodules; r=0.75; P<0.001). The results of a multivariate logistic regression analysis showed that, at the individual level, the presence of onchocercal reactive skin lesions (acute papular onchodermatitis, chronic papular onchodermatitis and/or lichenified onchodermatitis) was the most important risk factor for pruritus, with an odds ratio (OR) of 18.3 and 95% confidence interval (CI) of 15.19-22.04, followed by the presence of palpable onchocercal nodules (OR=4.63; CI=4.05-5.29). In contrast, non-onchocercal skin disease contributed very little to pruritus in the study communities (OR=1.29; CI=1.1-1.51). Onchocercal skin lesions affected 28% of the population in the endemic villages. The commonest type was chronic papular onchodermatitis (13%), followed by depigmentation (10%) and acute papular onchodermatitis (7%). The highest correlation with endemicity was seen for the prevalence of any onchocercal skin lesion and/or pruritus combined (r=0.8; P<0.001). Cutaneous onchocerciasis was found to be a common problem in many endemic areas in Africa which do not have high levels of onchocercal blindness. These findings, together with recent observations that onchocercal skin disease can have major, adverse, psycho-social and socio-economic effects, justify the inclusion of regions with onchocercal skin disease in control programmes based on ivermectin distribution. On the basis of these findings, the World Health Organization launched a control programme for onchocerciasis, the African Programme for Onchocerciasis Control (APOC), that covers 17 endemic countries in Africa."
